Forage (année 2011) ;CE (μs/cm) ;T (°C);Ca++ (mg/l);Mg++ (mg/l);K+ (mg/l);NA+ (mg/l);HCO3- (mg/l);Cl- (mg/l)
1;993.72;19.23;63.88;54.62;4.1;70;314;79.28
2;927.31;21.7;84.9;33.06;4.1;64;315;67.37
3;1103.42;21.15;126;47;4;46;342;62
4;897.77;21.3;92;36;3;49;311;57
5;1120.57;21.3;100;11;4;75;342;74
6;1122.28;21.5;103;33;3.3;96;272;93
7;663.11;20.7;56;34;6;43;220;62
8;768.58;21.1;86;31;5;34;218;108
9;1210.87;21.4;128;30.5;6;87;281;186
10;1116.61;21.95;80;41;6;115;192;132
11;1083.65;21.7;88;35;9;101;223;117
12;685.52;21.35;69;24;6;43;222;61
13;1405.32;19.6;152;52;12;165;329;132
14;1206.26;20.1;120;40;7;103;276;121
15;1298.54;19.5;125;44;7;109;281;137
16;881.95;20.6;96;34;6;51;265;73
17;1150.89;20.5;128;46;6;70;279;124
1;1083.72;21.7;97.62;38.63;3.5;78.95;305;83.96
2;1019.04;19.4;96.75;31.99;3.15;77.6;321;82.97
3;1111.34;19.3;92;24;3;126;325;65
4;914.38;19.1;63.58;47.02;3.6;50;343;53.04
5;1204.94;19.2;108;37;4;82;348;73
6;1046.19;21.2;97.04;13.88;5.47;118;306;66.6
7;714.53;18.1;71;25;6;49;212;69
8;870.09;18.7;94;34;5;43;244;88
9;681.57;18.2;62;29;6;32;268;43
10;1233.15;19.2;74.7;42.8;7.9;158;182;164
11;1044.11;18.15;101;28;8;91;227;140
12;739.57;18.5;72;21;6;45;213;61
13;2075.03;21.6;105.2;25;5.2;65;221;146
14;1237.89;0;117;39;6;104;266;126
15;1235.26;0;108;27;4;92;371;73
16;1186.48;0;121;38;6;101;285;109
17;1075.75;0;133;24;6;85;244;104
1;808.94;18.25;51.43;33.97;3.9;74;201;89.63
2;916.14;19.8;54.41;42.5;4.1;85;300;102.96
3;1059.92;20.4;101.16;36.87;5.03;107;215;99.17
4;960.65;20.6;96.64;37.36;3.09;49.95;341;59.93
5;1010.11;19.35;90.34;44.51;4.3;74;228;115.87
6;829.49;18.48;107;38;4;58;342;60
7;768.58;19.7;74;24;5;49;212;62
8;684.6;21.7;99.46;8.09;5.6;40;148;96.11
9;634.63;22;54.8;28.6;6.1;37.1;220;63
10;1293.26;20.2;87;45;10;153;187;147
11;1444.87;18.65;127;56;8;98;356;170
12;684.01;18.35;71.6;26.56;5.9;40;227;64.96
13;978.97;21.6;96.02;44.89;7.5;61;253;140.13
14;1167.35;21.8;106.47;40.67;7.2;100;259;132.61
15;1186.48;21.1;125;44;7;109;266;137.75
16;1150.75;21.8;97.84;55.25;7.2;92;244;118.14
17;1000.97;18.23;94.62;40.11;6.7;80;238;111.48
1;1124.33;19;90.6;37.75;10.5;91.5;312.32;109.5
2;1149.34;19.2;75.2;33.68;12.5;149;251.32;145.23
3;1173.3;21.1;98.84;34.09;6.76;77.87;270.15;95.42
4;705.1;20.8;64.07;30.04;3.5;46;186.9;75.31
5;1032.57;20.7;99.19;28.66;3.76;83.69;274.5;114.03
6;999.28;19.4;39.71;62.8;4;51;272.06;85.24
7;675.53;20.6;72.66;24.36;5.5;44;179.95;68.36
8;886.63;19.6;103.34;30.34;5.73;45.92;239.73;109.49
9;660.47;20.4;52;28;7;36;229;49
10;1303.81;19.8;95;39;7;152;182;186
11;1301.62;21.3;116.76;48.84;8.3;99;308.66;187.07
12;725.88;20.8;71.6;24.51;6.19;47.85;216.55;57.16
13;1122.9;20.7;120.56;35.54;7.07;75.08;295.24;134.74
14;1303.23;19.35;127.33;41.94;5.85;110.73;275.72;149.63
15;1253.71;20.6;99.74;42.32;7.2;80.7;274;100.5
16;1211.53;19.6;116.95;38.92;6.27;103.2;280.6;119.56
17;966.2;21.2;102.04;17.54;6.29;88.53;177.15;99.85
1;1067.86;21.9;100.36;36.383;3.2;68.65;335.5;70.914
2;1057.06;19.95;98.757;36.091;3.32;87.64;303.497;97.861
3;1107.38;22.8;165;39;23;95;263;57
4;1082.86;27.3;104.36;27.04;12.5;95.5;349.73;97.5
5;733.37;21.05;53.86;23.73;4.1;73;170.8;85.8
6;1021.6;24.8;95.31;42.95;3.71;61.31;334.28;87.37
7;732.34;18.85;71.52;25.13;6.42;51.89;211.67;74.88
8;882.15;23.5;69.34;57.84;5.9;47;212.89;130.48
9;672.34;22.2;69;24;6;46;227;54
10;2075.03;22.6;168;58;17;227;199;346
11;1331.62;21.2;119.13;46.04;7.08;138.99;205.57;197.28
12;703.56;21.15;49.9;46.09;5.8;46;176.9;98.99
13;957.17;23.5;71.63;56.15;7.4;75;176.29;154.59
14;1073.12;19.8;81.31;35.76;6.7;106;200.62;149.62
15;1202.9;22.9;127.69;41.64;7.6;94.8;260.84;134.54
16;1088.47;18.7;97.15;32.44;7.3;97;198.86;126.93
17;865.79;21.5;59.92;32.99;6.4;85;184.83;92.6
1;1218.97;19;125.37;46.013;3.81;75.39;298.9;136.155
2;1084.86;19.2;99.398;33.562;4.23;99.93;262.3;69.496
3;1095.52;20.9;166;74;21;45;174;314
4;838.6;20.8;101.05;19.067;2.85;45.52;344.65;63.539
5;1049.92;20.7;82.6;33.83;12;130;283.65;123.39
6;1046.19;19.4;97.04;13.88;5.47;118.31;334.28;87.37
7;630.96;20.5;43.38;25.51;7.7;52;158.6;79.42
8;969.12;19.6;102.01;34.41;19.5;76.5;252.54;107.78
9;604.51;20.4;65.59;22.66;6.3;36;170.19;48.36
10;1288.15;19.8;89.84;47.04;8.2;154;183;154.3
11;1364.46;21.1;61.27;31.06;6;230;185.68;245.07
12;872.33;20.8;70.33;26.29;12.5;85;224.48;110.62
13;1273.84;20.7;107.2;37.11;14.5;150;301.95;174.44
14;1149.27;19.4;90.6;36.48;13.5;141.45;278.16;141.82
15;1194.7;20.6;98.84;34.49;6.76;77.87;270.15;80.42
16;1288.56;19.6;111.82;38.09;16;124;270.84;109.2
17;1232.29;21.2;96.43;33.38;14.5;97.75;253.15;130.48
1;980.71;19.4;80.16;32.589;3.63;80.51;294.02;78.005
2;1064.41;20.6;96.192;32.102;3.91;98.14;284.87;92.188
3;1055.97;19.6;168.82;70.29;20;85;183;361
4;919.5;20.4;100.2;32.881;3.017;50.13;324.52;56.731
5;964.83;19.8;88.176;31.908;3.596;71.23;271.45;78.005
6;715.59;21;54.01;36.29;4;58;180.56;84.95
7;764.28;20.8;49;24.12;11;92;200.21;70.91
8;1046.87;20.7;116.072;56.033;5.07;56.74;288.53;127.645
9;685.35;19.4;72.43;21.53;5.85;39.47;231.19;45.7
10;1374.45;20.6;96.35;45.88;7.75;166.54;183;154.59
11;1774.02;19.6;89;34.81;14.5;302.5;205.57;309.18
12;713.19;20.9;66.212;27.919;4.79;39.29;231.8;60.986
13;800.74;19;89.86;15.18;6.46;83.29;234.2;140.41
14;1342.4;19.2;122.645;47.181;6.001;102.04;298.9;141.544
15;797.58;21;84;30;5;40;293;52
16;495.12;20.8;18.116;7.199;5.6;95.11;72.59;142.963
17;420.84;20.7;15.711;7.685;5.23;74.87;59.597;112.044
1;1024.21;19.8;98.998;33.562;4.013;73.86;295.24;76.233
2;1124.74;20.2;100.601;36.48;4.068;100.4;265.35;96.266
3;1029.6;20.8;164.98;44.49;19.45;48.5;170.8;142.64
4;919.68;20.7;95.39;33.075;3.462;48.52;326.716;60.454
5;1019.5;19.4;104.609;35.021;3.749;64.18;304.39;78.892
6;1124.95;20.6;106.94;28.8;10;88.5;342.21;68.07
7;773.19;19.6;74.228;26.266;4.75;49.72;247.05;69.496
8;1148.57;19.5;128.256;39.301;6.42;64.41;250.1;151.756
9;502.59;19;41.34;17.12;5.8;39;151.89;66.09
10;1288.05;19.2;102.605;39.885;7.7;147.9;183;143.955
11;1501.07;21;79.954;28.698;5.29;252.2;195.2;177.285
12;711.24;20.8;70.06;24.806;5.69;42.62;219.6;56.731
13;1322.81;20.7;145.09;46.208;8.53;107.8;268.4;262.382
14;1139.29;19.4;92.986;33.075;6.75;106.9;269.01;130.482
15;760.67;20.6;68;38;6;45;269;63
16;1155.28;19.6;114.468;39.496;7.14;91.29;268.4;102.542
17;1103.39;19.9;102.925;35.313;6.19;79.05;268.4;85.097
1;1103.43;19;94.01;34.72;3.04;84.21;301.2;79.11
2;1103.43;19.2;101.03;36.75;3.64;97.78;277;62
3;929.41;19.8;177.29;37.59;20.3;48;169.58;186.32
4;936.19;20.8;100.52;34.56;2.8;49.64;374.07;53.55
5;985.53;20.7;78.47;36.05;3.08;71.19;308.58;70.47
6;962.02;19.4;104.2;33.66;3.52;52.85;308.66;61.84
7;754.52;20.6;78.557;25.293;5.46;53.14;207.4;69.496
8;942.38;19.6;97.795;35.215;5.871;61.26;244;120.696
9;925.4;21.3;61.91;28.94;21.5;100.5;238.51;146.08
10;1372.05;19.4;97.314;40.177;7.74;175.1;183;157.429
11;1501.068;20.6;76.954;28.698;5.29;152.2;195.2;177.285
12;744.79;19.6;82.885;16.829;5.4;49.59;221.43;63.823
13;1205.14;21;110.621;41.052;7.96;102.3;277.245;199.977
14;1287.65;19.8;125.05;29.184;6.45;105;269.62;130.482
15;748.8;21.2;66;31;7;43;232;60
16;1220.02;20.8;123.927;32.492;6.68;102.4;276.94;100.698
17;1098.44;20.7;106.452;32.686;6.103;84.99;270.84;89.352
1;1103.43;19.4;104;49;4;67;284;85
2;1103.43;20.6;126;47;4;46;342;62
3;851.16;19.6;86.73;32.97;3.31;48.23;292.8;53.61
4;1103.43;19.3;126;47;4;46;342;62
5;1244.49;19.4;100;11;4;170;342;74
6;981.12;20.6;107.04;35;5.72;54.9;323.3;63.47
7;769.78;19.6;78.076;23.25;5.193;55.91;207.4;76.587
8;1029.69;19.9;114.428;38.912;5.817;56.56;248.27;132.077
9;697.79;19.8;67.495;26.655;4.89;35;262.91;56.731
10;1308.76;21;108.817;40.493;6.808;141.2;186.66;143.778
11;1694.23;20.8;174.548;59.827;8.7;113.6;382.165;211.324
12;761.35;20.7;70.34;25.171;5.673;43.04;217.16;56.731
13;1448.99;19;135.486;42.464;8.137;119.7;283.04;294.293
14;1264.29;19.2;121.442;43.776;6.222;103.7;271.45;132.432
15;1298.54;21;125;44;7;109;281;137
16;1175.72;20.8;113.627;39.034;6.571;91.77;276.025;99.811
17;1054.49;20.7;101.002;35.507;6.132;78.71;272.365;86.161
