T,Qc,Qk,Qk-1,Qk+1
1222,-1,0.00355500252046868,0.00363293571142757,0.00333538444644764
1223,-1,0.00333538444644764,0.00355500252046868,0.00325634535878899
1224,-1,0.00325634535878899,0.00333538444644764,0.00341650522201169
1225,-1,0.00341650522201169,0.00325634535878899,0.00330051617403197
1226,-1,0.00330051617403197,0.00341650522201169,0.00308766358570351
1227,-1,0.00308766358570351,0.00330051617403197,0.00308597221428037
1228,-1,0.00308597221428037,0.00308766358570351,0.00369707772001311
1229,-1,0.00369707772001311,0.00308597221428037,0.00730217085570579
1230,-1,0.00730217085570579,0.00369707772001311,0.0306190920314874
1231,-1,0.0306190920314874,0.00730217085570579,0.0656904591234234
1232,-1,0.0656904591234234,0.0306190920314874,0.0843038715296718
1233,-1,0.0843038715296718,0.0656904591234234,0.0593059223175223
1234,-1,0.0593059223175223,0.0843038715296718,0.0416727247037352
1235,-1,0.0416727247037352,0.0593059223175223,0.0321838057561403
1236,-1,0.0321838057561403,0.0416727247037352,0.0254788841710468
1237,-1,0.0254788841710468,0.0321838057561403,0.0222163588012886
1238,-1,0.0222163588012886,0.0254788841710468,0.0194594233815576
1239,-1,0.0194594233815576,0.0222163588012886,0.0176482247983544
1240,-1,0.0176482247983544,0.0194594233815576,0.0168198431174942
1241,-1,0.0168198431174942,0.0176482247983544,0.0175244294207294
1342,-1,0.0142183187104516,0.0153864058363763,0.0128239130775602
1343,-1,0.0128239130775602,0.0142183187104516,0.0115729487519012
1344,-1,0.0115729487519012,0.0128239130775602,0.0105855781572651
1345,-1,0.0105855781572651,0.0115729487519012,0.00990701295284762
1346,-1,0.00990701295284762,0.0105855781572651,0.00922493490008971
1347,-1,0.00922493490008971,0.00990701295284762,0.00882694219367361
1348,-1,0.00882694219367361,0.00922493490008971,0.00840839281919155
1349,-1,0.00840839281919155,0.00882694219367361,0.008376647078634
1350,-1,0.008376647078634,0.00840839281919155,0.00812151020472685
1351,-1,0.00812151020472685,0.008376647078634,0.00845685711573944
1352,-1,0.00845685711573944,0.00812151020472685,0.00969988500625905
1353,-1,0.00969988500625905,0.00845685711573944,0.00959469471428866
1354,-1,0.00959469471428866,0.00969988500625905,0.0092912236493277
1355,-1,0.0092912236493277,0.00959469471428866,0.00942939568404947
1356,-1,0.00942939568404947,0.0092912236493277,0.00904369794682471
1357,-1,0.00904369794682471,0.00942939568404947,0.0084022778609694
1358,-1,0.0084022778609694,0.00904369794682471,0.00748087075183607
1359,-1,0.00748087075183607,0.0084022778609694,0.00699538210064558
1360,-1,0.00699538210064558,0.00748087075183607,0.00646845484958797
1361,-1,0.00646845484958797,0.00699538210064558,0.00576718623645203
1362,-1,0.00576718623645203,0.00646845484958797,0.00525352974579143
1363,-1,0.00525352974579143,0.00576718623645203,0.00492117526114287
1364,-1,0.00492117526114287,0.00525352974579143,0.00458368160947782
1365,-1,0.00458368160947782,0.00492117526114287,0.0044049166606005
1366,-1,0.0044049166606005,0.00458368160947782,0.00425366902372285
1399,-1,0.0033391575057762,0.00359299332474247,0.0033407838244523
1654,-1,0.000320840148421746,0.000283369766124315,0.000329362058284529
1655,-1,0.000329362058284529,0.000320840148421746,0.000359871796648235
1656,-1,0.000359871796648235,0.000329362058284529,0.000405148508590963
1657,-1,0.000405148508590963,0.000359871796648235,0.000402221134973977
1658,-1,0.000402221134973977,0.000405148508590963,0.000424339068968988
1659,-1,0.000424339068968988,0.000402221134973977,0.000488546130301563
1660,-1,0.000488546130301563,0.000424339068968988,0.000532066418074099
1661,-1,0.000532066418074099,0.000488546130301563,0.00054572749495337
1662,-1,0.00054572749495337,0.000532066418074099,0.000545792547700415
1663,-1,0.000545792547700415,0.00054572749495337,0.000517169339000989
1677,-1,0.000940337458523182,0.00108468950421415,0.00078557697330515
1678,-1,0.00078557697330515,0.000940337458523182,0.000690925226355912
1679,-1,0.000690925226355912,0.00078557697330515,0.000634654600162723
1680,-1,0.000634654600162723,0.000690925226355912,0.000651308103406025
1681,-1,0.000651308103406025,0.000634654600162723,0.000855053307148302
1682,-1,0.000855053307148302,0.000651308103406025,0.00156744594002878
1683,-1,0.00156744594002878,0.000855053307148302,0.00150694688527772
1684,-1,0.00150694688527772,0.00156744594002878,0.00133943606163904
1685,-1,0.00133943606163904,0.00150694688527772,0.00119170127310178
1686,-1,0.00119170127310178,0.00133943606163904,0.00104702396367559
1687,-1,0.00104702396367559,0.00119170127310178,0.000996803242957503
1688,-1,0.000996803242957503,0.00104702396367559,0.000900004755355809
1689,-1,0.000900004755355809,0.000996803242957503,0.000867868698315999
1690,-1,0.000867868698315999,0.000900004755355809,0.00115624752596271
1691,-1,0.00115624752596271,0.000867868698315999,0.00211401912069373
1692,-1,0.00211401912069373,0.00115624752596271,0.00311374973726822
1693,-1,0.00311374973726822,0.00211401912069373,0.0050458813772265
1694,-1,0.0050458813772265,0.00311374973726822,0.00487960655578166
1695,-1,0.00487960655578166,0.0050458813772265,0.0038822828908478
1696,-1,0.0038822828908478,0.00487960655578166,0.00316065276788705
1697,-1,0.00316065276788705,0.0038822828908478,0.00269279341114553
1698,-1,0.00269279341114553,0.00316065276788705,0.00232069169805299
1699,-1,0.00232069169805299,0.00269279341114553,0.00203361392534716
1700,-1,0.00203361392534716,0.00232069169805299,0.00180586425794559
1701,-1,0.00180586425794559,0.00203361392534716,0.00163197826509658
1702,-1,0.00163197826509658,0.00180586425794559,0.00154409200383993
1703,-1,0.00154409200383993,0.00163197826509658,0.00153693620166508
1704,-1,0.00153693620166508,0.00154409200383993,0.00149367612488072
1705,-1,0.00149367612488072,0.00153693620166508,0.00150356414243143
1706,-1,0.00150356414243143,0.00149367612488072,0.00179018654590795
1790,-1,0.00854279179458476,0.00978484389389871,0.00757792945042594
1791,-1,0.00757792945042594,0.00854279179458476,0.00673783827509779
1792,-1,0.00673783827509779,0.00757792945042594,0.00587244158116947
1793,-1,0.00587244158116947,0.00673783827509779,0.00501829901247978
1794,-1,0.00501829901247978,0.00587244158116947,0.00438481536176386
1795,-1,0.00438481536176386,0.00501829901247978,0.00386088053707028
1796,-1,0.00386088053707028,0.00438481536176386,0.00340908920884866
1797,-1,0.00340908920884866,0.00386088053707028,0.00297095895750631
1798,-1,0.00297095895750631,0.00340908920884866,0.00275016993403847
1799,-1,0.00275016993403847,0.00297095895750631,0.00262051980917948
1800,-1,0.00262051980917948,0.00275016993403847,0.00257225067087272
1801,-1,0.00257225067087272,0.00262051980917948,0.00246894690856661
1802,-1,0.00246894690856661,0.00257225067087272,0.00279993528552724
1803,-1,0.00279993528552724,0.00246894690856661,0.0057080532893889
1804,-1,0.0057080532893889,0.00279993528552724,0.00576939802985153
1805,-1,0.00576939802985153,0.0057080532893889,0.00502005543664998
1806,-1,0.00502005543664998,0.00576939802985153,0.00525242384909168
1807,-1,0.00525242384909168,0.00502005543664998,0.0045266303503201
1808,-1,0.0045266303503201,0.00525242384909168,0.00535592276963892
1809,-1,0.00535592276963892,0.0045266303503201,0.00859756620759594
1810,-1,0.00859756620759594,0.00535592276963892,0.00966306515143206
1811,-1,0.00966306515143206,0.00859756620759594,0.00695914772054199
1812,-1,0.00695914772054199,0.00966306515143206,0.00529639950609352
1813,-1,0.00529639950609352,0.00695914772054199,0.004411552040799
1814,-1,0.004411552040799,0.00529639950609352,0.00380896844492904
1815,-1,0.00380896844492904,0.004411552040799,0.00324801860716734
1816,-1,0.00324801860716734,0.00380896844492904,0.00281112435801883
1817,-1,0.00281112435801883,0.00324801860716734,0.00248703157224488
2546,-1,0,0,0
2547,-1,0,0,0
2548,-1,0,0,0
2549,-1,0,0,0.00000149621318201544
2550,-1,0.00000149621318201544,0,0.00000214674065245693
2551,-1,0.00000214674065245693,0.00000149621318201544,0
2552,-1,0,0.00000214674065245693,0
2553,-1,0,0,0
2554,-1,0,0,0
2555,-1,0,0,0
2556,-1,0,0,0
2557,-1,0,0,0
2558,-1,0,0,0
2559,-1,0,0,0.00000468379778717877
3018,-1,0.00424508206111302,0.00449319323833941,0.00408641841107234
3019,-1,0.00408641841107234,0.00424508206111302,0.00407275733419307
3020,-1,0.00407275733419307,0.00408641841107234,0.00426440272698514
3021,-1,0.00426440272698514,0.00407275733419307,0.00494108140173838
3022,-1,0.00494108140173838,0.00426440272698514,0.00626145700849348
3023,-1,0.00626145700849348,0.00494108140173838,0.00612992035397021
3024,-1,0.00612992035397021,0.00626145700849348,0.00534980781141677
3025,-1,0.00534980781141677,0.00612992035397021,0.00462167241375161
3026,-1,0.00462167241375161,0.00534980781141677,0.0042914646697555
3027,-1,0.0042914646697555,0.00462167241375161,0.00399391340477556
3028,-1,0.00399391340477556,0.0042914646697555,0.00380246317022463
3210,-1,0.0115994902726953,0.0103339541316984,0.0464637944707897
3211,-1,0.0464637944707897,0.0115994902726953,0.0371603409050177
3212,-1,0.0371603409050177,0.0464637944707897,0.0262333008785178
3213,-1,0.0262333008785178,0.0371603409050177,0.0212673693274086
3214,-1,0.0212673693274086,0.0262333008785178,0.0180849889420088
3215,-1,0.0180849889420088,0.0212673693274086,0.0160278259222317
3216,-1,0.0160278259222317,0.0180849889420088,0.0146464958914962
3217,-1,0.0146464958914962,0.0160278259222317,0.0147342520472587
3218,-1,0.0147342520472587,0.0146464958914962,0.0151806439974757
3219,-1,0.0151806439974757,0.0147342520472587,0.0143181096244173
3220,-1,0.0143181096244173,0.0151806439974757,0.0122332991871464
4168,-1,0.0063068638259303,0.00627173534252646,0.0147682095812158
4169,-1,0.0147682095812158,0.0063068638259303,0.116545639283428
4170,-1,0.116545639283428,0.0147682095812158,0.092562968294397
4171,-1,0.092562968294397,0.116545639283428,0.0697900181893986
4172,-1,0.0697900181893986,0.092562968294397,0.0527010518573828
4173,-1,0.0527010518573828,0.0697900181893986,0.0441948197066368
4174,-1,0.0441948197066368,0.0527010518573828,0.0363418472417082
4175,-1,0.0363418472417082,0.0441948197066368,0.0306795260334914
4176,-1,0.0306795260334914,0.0363418472417082,0.0269579884805897
4177,-1,0.0269579884805897,0.0306795260334914,0.0243502190098308
4178,-1,0.0243502190098308,0.0269579884805897,0.0227305357139256
4179,-1,0.0227305357139256,0.0243502190098308,0.0212240441978772
4382,-1,0.0141718710490621,0.0160648409352998,0.0130838638547487
4383,-1,0.0130838638547487,0.0141718710490621,0.0121195869853132
4384,-1,0.0121195869853132,0.0130838638547487,0.0107639527896602
4385,-1,0.0107639527896602,0.0121195869853132,0.0103841748524165
4386,-1,0.0103841748524165,0.0107639527896602,0.00946114142460702
4387,-1,0.00946114142460702,0.0103841748524165,0.00900791893595043
4388,-1,0.00900791893595043,0.00946114142460702,0.0131912008873715
4389,-1,0.0131912008873715,0.00900791893595043,0.0209333885240839
4390,-1,0.0209333885240839,0.0131912008873715,0.014507738382051
4391,-1,0.014507738382051,0.0209333885240839,0.0128611883016165
4392,-1,0.0128611883016165,0.014507738382051,0.0125117249444954
4393,-1,0.0125117249444954,0.0128611883016165,0.0107035838404032
4394,-1,0.0107035838404032,0.0125117249444954,0.00963405162625037
4395,-1,0.00963405162625037,0.0107035838404032,0.00875265195654919
4396,-1,0.00875265195654919,0.00963405162625037,0.00875935238949474
4397,-1,0.00875935238949474,0.00875265195654919,0.00950687350577906
4398,-1,0.00950687350577906,0.00875935238949474,0.013256774056392
4399,-1,0.013256774056392,0.00950687350577906,0.0149359806158426
4583,-1,0.0250344438032412,0.0266218609366125,0.0239473473473864
4584,-1,0.0239473473473864,0.0250344438032412,0.023056710187605
4585,-1,0.023056710187605,0.0239473473473864,0.0219147092132449
4723,-1,0.00282465532940402,0.00327657676311972,0.00233688983206698
4724,-1,0.00233688983206698,0.00282465532940402,0.00204441268135649
5978,-1,0.000461874504013462,0.000490757923701064,0.000543385596059781
5979,-1,0.000543385596059781,0.000461874504013462,0.0012142745763261
5980,-1,0.0012142745763261,0.000543385596059781,0.00105079702300415
5981,-1,0.00105079702300415,0.0012142745763261,0.000853166777484021
5982,-1,0.000853166777484021,0.00105079702300415,0.000699186925230519
5983,-1,0.000699186925230519,0.000853166777484021,0.000605641074981032
5984,-1,0.000605641074981032,0.000699186925230519,0.000520877345582505
5985,-1,0.000520877345582505,0.000605641074981032,0.000465712616089067
5986,-1,0.000465712616089067,0.000520877345582505,0.00042297296128106
5987,-1,0.00042297296128106,0.000465712616089067,0.000393569119617105
5988,-1,0.000393569119617105,0.00042297296128106,0.000364880858170635
5989,-1,0.000364880858170635,0.000393569119617105,0.000345039770322169
6015,-1,0.0239890461582417,0.0158649338436331,0.132325419081181
6016,-1,0.132325419081181,0.0239890461582417,0.102070427274899
